song_name,artist,mood,genre,url
Holocene,Bon Iver,calm,Indie Folk,https://open.spotify.com/track/35KiiILklye1JRRctaLUb4?si=e951cb9511ae4c8e
Skinny Love,Bon Iver,calm,Indie Folk,https://open.spotify.com/track/3B3eOgLJSqPEA0RfboIQVM?si=8a005e79fe7c44e6
Cherry Wine (Live),Hozier,calm,Acoustic,https://open.spotify.com/track/5o5WaO9pzPhXSGIrTIYVce?si=f47196a7d9564a86
Asleep,The Smiths,calm,Alternative Rock,https://open.spotify.com/track/7LZgdL0MxiElfaKZbuuE4l?si=fe9af15052844cc4
Woman,Doja Cat,calm,Soft Rock,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
The Night We Met,Lord Huron,calm,Indie Rock,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU?si=a2449e9a27884497
Pink Moon,Nick Drake,calm,Folk,https://open.spotify.com/track/4KROoGIaPaR1pBHPnR3bwC?si=fcb68012488a4bd5
Don't Know Why,Norah Jones,calm,Jazz Pop,https://open.spotify.com/track/1zNXF2svmdlNxfS5XeNUgr?si=6ac6aec7fd3d42b6
Put your records on,Corinne Bailey,calm,Chill Electronic,https://open.spotify.com/track/2nGFzvICaeEWjIrBrL2RAx
Kho Gaye Hum Kahan,Jasleen Royal & Prateek Kuhad,calm,Indie Pop,https://open.spotify.com/track/7nPCAO0Q9AHbM7PWyj9O98?si=8c7d7138e6b04185
Raabta,Arijit Singh,calm,Bollywood,https://open.spotify.com/track/6FjbAnaPRPwiP3sciEYctO?si=8eac3dd81c8c47e3
Phir Le Aaya Dil,Rekha Bhardwaj,calm,Ghazal,https://open.spotify.com/track/7fpWJr5shT90KiCHXKHxch?si=1b974edcf5174612
Tum Mile Dil Khile,Stebin Ben,calm,Bollywood,https://open.spotify.com/track/6V7UVqe8XnAS4WPdpaw5TK?si=599db9b7aaa943fa
Shayad,Arijit Singh,calm,Bollywood,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL?si=1b937ce30f3643bc
Chaand Baaliyan,Aditya A,calm,Indie Pop,https://open.spotify.com/track/0snQrp1VaY5Pj1YIHRJpRJ?si=73b782e65403459c
Tera Yaar Hoon Main,Arijit Singh,calm,Bollywood,https://open.spotify.com/track/4ZTx87kAgEwlPMzoojFZWg?si=e0af457788fd4820
O Rangrez,Javed Bashir & Shreya Ghoshal,calm,Classical Fusion,https://open.spotify.com/track/3rYZNvm6IXPIPIx9BPBQ18?si=d8406df7e70c4991
"Creep","Radiohead","anxious","Alternative Rock",https://open.spotify.com/track/30mC7W7Ngzf8BNTEnEVWh3?si=67edfb8dbfaf4999
"Numb","Linkin Park","anxious","Nu Metal",https://open.spotify.com/track/0tPGKwBnhD2pxeUoGxpZYB?si=aad23daf59e7414d
"Somebody That I Used To Know","Gotye","anxious","Indie Pop",https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7?si=9a50b199a75a4029
"Mad World","Tears for Fears","anxious","New Wave",https://open.spotify.com/track/3JOVTQ5h8HGFnDdp4VT3MP?si=f9fa7faa2fd34110
"Hurt","Nine Inch Nails","anxious","Industrial Rock",https://open.spotify.com/track/27tX58NOpv1YKQ0abW7EPy?si=a9033b5f2f754f4a
"Welcome to the Black Parade","My Chemical Romance","anxious","Alternative Rock",https://open.spotify.com/track/5wQnmLuC1W7ATsArWACrgW?si=bbc2a5f5cd294fdf
"Stressed Out","Twenty One Pilots","anxious","Alternative Hip Hop",https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
"Bad Guy","Billie Eilish","anxious","Electropop",https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
"How You Remind Me","Nickelback","anxious","Post-Grunge",https://open.spotify.com/track/0gmbgwZ8iqyMPmXefof8Yf?si=d1d23e4daec24d22
"Jai Ho","A. R. Rahman","anxious","Pop/Film Score",https://open.spotify.com/track/3MxLT7m4BjAA0lQl9lVBcM?si=23c3b9deb9354cc6
"Malang","Ved Sharma","anxious","Rock",https://open.spotify.com/track/65bMbbRjIlGyJBgQRi6Qvv?si=7195a6https://open.spotify.com/track/5abKWMQPFxoZm9pO5TtbR5?si=a52e0bc244e446ac"https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR"
"Mirchi","Divine","anxious","Hip-Hop/Rap",https://open.spotify.com/track/5KkCsYIgMK5H7Ih31Dnd2Q?si=0104e73d32b941dc
"Apna Time Aayega","Ranveer Singh","anxious","Hip-Hop/Rap",https://open.spotify.com/track/5FLgOuLoVwwUUF7IL36Lux?si=58ca2e1dcabf4b01
"Jungli Sher","Divine","anxious","Hip-Hop/Rap",https://open.spotify.com/track/04i2uLdBAfCSYjQzZqspDa?si=c8cfdb13ee6d4ec0
"Suraj Pe Mangal Bhaari","Payal Dev","anxious","Film/Pop",https://open.spotify.com/track/4He8eq31u4AwmbiZoRSARt?si=9c2e11ccb4614074
"Baazigar O Baazigar","Kumar Sanu","anxious","Bollywood",https://open.spotify.com/track/56h75LnnsaBy4T8N8MSNgF?si=163d02e5ed154744
"Time","Hans Zimmer","focused","Instrumental",https://open.spotify.com/track/6ZFbXIJkuI1dVNWvzJzown?si=b76b336aeb154746
"Weightless","Marconi Union","focused","Ambient",https://open.spotify.com/track/6kkwzB6hXLIONkEk9JciA6?si=92e7ac4a22ac4eec
"Adagio for Strings","Samuel Barber","focused","Classical",https://open.spotify.com/track/6TnnyFi6wLxV74NFpgNX0r?si=479beb5590e34872
"Experience","Ludovico Einaudi","focused","Classical",https://open.spotify.com/track/1BncfTJAWxrsxyT9culBrj?si=b3bc6ffa597a4246
"Electric Relaxation","A Tribe Called Quest","focused","Hip-Hop",https://open.spotify.com/track/0eEXcw3JLVXcRxYrVYMy68?si=aea8a528f82848a3
"Clair de Lune","Claude Debussy","focused","Classical",https://open.spotify.com/track/6Er8Fz6fuZNi5cvwQjv1ya?si=ac8ba4a9b7b7454d
